image_id,crop_type,disease_label,location,date_captured,confidence_score,time_of_day,weather
IMG_0001.jpg,Tomato,Healthy,Field C,2025-07-08,0.697,Morning,Overcast
IMG_0002.jpg,Wheat,Early Blight,Greenhouse 1,2025-06-01,0.682,Morning,Overcast
IMG_0003.jpg,Wheat,Healthy,Field B,2025-09-08,0.803,Afternoon,Sunny
IMG_0004.jpg,Potato,Yellow Leaf Curl,Field C,2025-08-05,0.723,Afternoon,Sunny
IMG_0005.jpg,Tomato,Yellow Leaf Curl,Field A,2025-08-28,0.767,Afternoon,Sunny
IMG_0006.jpg,Maize,Early Blight,Greenhouse 1,2025-06-18,0.75,Evening,Overcast
IMG_0007.jpg,Pepper,Leaf Mold,Field A,2025-06-22,0.727,Afternoon,Sunny
IMG_0008.jpg,Potato,Early Blight,Greenhouse 1,2025-08-15,0.866,Afternoon,Sunny
IMG_0009.jpg,Pepper,Bacterial Spot,Field B,2025-08-23,0.968,Evening,Sunny
IMG_0010.jpg,Wheat,Late Blight,Field B,2025-07-15,0.779,Evening,Overcast
IMG_0011.jpg,Wheat,Leaf Mold,Field C,2025-06-08,0.929,Afternoon,Cloudy
IMG_0012.jpg,Pepper,Early Blight,Field B,2025-08-07,0.873,Afternoon,Overcast
IMG_0013.jpg,Maize,Late Blight,Field C,2025-07-08,0.903,Evening,Cloudy
IMG_0014.jpg,Wheat,Yellow Leaf Curl,Greenhouse 1,2025-08-08,0.989,Morning,Overcast
IMG_0015.jpg,Maize,Early Blight,Field A,2025-06-05,0.863,Evening,Cloudy
IMG_0016.jpg,Wheat,Early Blight,Greenhouse 1,2025-09-20,0.989,Evening,Cloudy
IMG_0017.jpg,Wheat,Healthy,Field A,2025-08-25,0.868,Morning,Cloudy
IMG_0018.jpg,Maize,Late Blight,Greenhouse 1,2025-06-24,0.948,Afternoon,Overcast
IMG_0019.jpg,Potato,Early Blight,Field C,2025-07-05,0.777,Morning,Overcast
